State,Agency type,Agency name,q01,q02,q03,q04,Population,From,,,,
,,Cape Coral,0,0,0,1,"159,625",,,,,
,,Casselberry,0,1,0,0,"26,747",,,,,
,,Clermont,1,0,0,0,"29,523",,,,,
,,Coral Gables,0,1,1,0,"48,435",,,,,
,,Deland,0,1,0,0,"27,410",,,,,
,,Fort Lauderdale,0,0,1,0,"170,827",,,,,
,,Fort Myers,1,0,0,0,"64,379",,,,,
,,Gainesville,1,0,3,1,"127,036",,,,,
,,Green Cove Springs,1,0,0,0,"7,053",,,,,
,,Homestead,1,1,1,0,"62,785",,,,,
,,Jacksonville,2,1,0,1,"840,660",,,,,
,,Jupiter,0,3,0,0,"56,674",,,,,
,,Key West,2,1,1,0,"25,249",,,,,
,,Lake Clarke Shores,1,0,0,0,"3,462",,,,,
,,Lakeland,1,0,0,0,"99,934",,,,,
,,Largo,0,0,0,2,"78,783",,,,,
,,Leesburg,0,0,0,1,"20,668",,,,,
,,Melbourne,3,5,1,0,"77,133",,,,,
,,Miami Gardens,0,0,1,1,"111,177",,,,,
,,Miramar,2,1,0,0,"125,998",,,,,
,,New Smyrna Beach,0,0,0,1,"22,788",,,,,
,,North Port,1,0,2,1,"58,568",,,,,
,,Oakland Park,0,1,0,0,"42,701",,,,,
,,Ocoee,0,0,0,1,"36,816",,,,,
,,Orange Park,1,0,0,0,"8,592",,,,,
,,Orlando,1,2,0,0,"246,513",,,,,
,,Ormond Beach,1,0,0,0,"38,674",,,,,
,,Oviedo,1,0,0,0,"33,985",,,,,
,,Palm Bay,1,0,0,0,"104,635",,,,,
,,Pensacola,1,2,1,0,"52,909",,,,,
,,Pinellas Park,0,0,0,1,"49,821",,,,,
,,Pompano Beach,0,0,3,0,"103,003",,,,,
,,Port St. Lucie,1,0,0,1,"168,416",,,,,
,,Sanford,0,0,0,1,"54,662",,,,,
,,Stuart,1,1,0,0,"15,932",,,,,
,,Tallahassee,0,1,0,0,"185,461",,,,,
,,Temple Terrace,0,0,0,1,"25,659",,,,,
,,Village of Pinecrest,1,0,0,0,"18,912",,,,,
,,Wellington,0,0,0,1,"57,943",,,,,
,,Wilton Manors,0,1,1,0,"12,005",,,,,
,,Winter Garden,0,0,0,3,"35,768",,,,,
,Universities and Colleges,,,,,,,,,,,
,,New College of Florida,0,0,0,1,845,,,,,
,,University of Central Florida,0,1,0,0,"58,465",,,,,
,,University of Florida,0,0,3,1,"49,589",,,,,
,,"University of South Florida, Tampa",0,0,2,0,"39,596",,,,,
,,University of West Florida,0,2,1,0,"11,982",,,,,
,Metropolitan Counties,,,,,,,,,,,
,,Alachua,0,1,1,1,,,,,,
,,Baker,1,0,0,0,,,,,,
,,Brevard,0,0,1,0,,,,,,
,,Clay,1,0,0,1,,,,,,
,,Collier,0,0,2,0,,,,,,
,,Escambia,0,0,0,1,,,,,,
,,Flagler,0,1,0,0,,,,,,
,,Hillsborough,1,0,0,1,,,,,,
,,Lake,0,2,0,1,,,,,,
,,Marion,1,0,0,0,,,,,,
,,Okaloosa,0,0,1,0,,,,,,
,,Orange,0,3,5,8,,,,,,
,,Osceola,1,0,1,1,,,,,,
,,Palm Beach,0,0,0,1,,,,,,
,,Pasco,0,0,0,1,,,,,,
,,Pinellas,0,1,0,0,,,,,,
,,Seminole,0,1,0,1,,,,,,
,,St. Johns,0,0,1,1,,,,,,
,,Volusia,1,1,0,0,,,,,,
,Nonmetropolitan Counties,,,,,,,,,,,
,,Putnam,0,0,0,1,,,,,,
Georgia,Total,,,,,,,,,,,
,Cities,,,,,,,,,,,
,,Columbus,2,,,,"196,178",,,,,
,Universities and Colleges,,,,,,,,,,,
,,Berry College,1,0,0,,"2,093",,,,,
,,University of Georgia,0,1,3,,"34,816",,,,,
,Metropolitan Counties,,,,,,,,,,,
,,Cobb County Police Department,0,3,6,,,,,,,
