State,Agency type,Agency name,q01,q02,q03,q04,Population,From
,,Alvarado,0,0,0,0,"3,888",Addendum
,,Alvin,0,0,0,0,"25,145",Addendum
,,Andrews,0,0,0,0,"11,751",Addendum
,,Angleton,0,0,0,0,"19,569",Addendum
,,Anna,0,0,0,0,"8,724",Addendum
,,Anson,0,0,0,0,"2,458",Addendum
,,Anthony,0,0,0,0,"5,166",Addendum
,,Archer City,0,0,0,0,"1,819",Addendum
,,Arcola,0,0,0,0,"1,724",Addendum
,,Argyle,0,0,0,0,"3,454",Addendum
,,Arp,0,0,0,0,"1,003",Addendum
,,Athens,0,0,0,0,"12,946",Addendum
,,Atlanta,0,0,0,0,"5,717",Addendum
,,Aubrey,0,0,0,0,"2,731",Addendum
,,Azle,0,0,0,0,"11,337",Addendum
,,Baird,0,0,0,0,"1,515",Addendum
,,Balch Springs,0,0,0,0,"24,574",Addendum
,,Balcones Heights,0,0,0,0,"2,859",Addendum
,,Ballinger,0,0,0,0,"3,831",Addendum
,,Bangs,0,0,0,0,"1,630",Addendum
,,Bastrop,0,0,0,0,"7,415",Addendum
,,Bayou Vista,0,0,0,0,"1,584",Addendum
,,Baytown,0,0,0,0,"74,420",Addendum
,,Beaumont,0,0,0,0,"120,323",Addendum
,,Bee Cave,0,0,0,0,"4,137",Addendum
,,Beeville,0,0,0,0,"13,179",Addendum
,,Bellaire,0,0,0,0,"17,481",Addendum
,,Bellmead,0,0,0,0,"10,212",Addendum
,,Bellville,0,0,0,0,"4,193",Addendum
,,Belton,0,0,0,0,"18,763",Addendum
,,Benbrook,0,0,0,0,"22,040",Addendum
,,Bertram,0,0,0,0,"1,384",Addendum
,,Beverly Hills,0,0,0,0,"2,056",Addendum
,,Big Sandy,0,0,0,0,"1,380",Addendum
,,Big Spring,0,0,0,0,"27,774",Addendum
,,Bishop,0,0,0,0,"3,211",Addendum
,,Blanco,0,0,0,0,"1,781",Addendum
,,Bloomburg,0,0,0,0,406,Addendum
,,Blue Mound,0,0,0,0,"2,484",Addendum
,,Boerne,0,0,0,0,"11,047",Addendum
,,Bogata,0,0,0,0,"1,157",Addendum
,,Bonham,0,0,0,0,"10,288",Addendum
,,Borger,0,0,0,0,"13,438",Addendum
,,Bovina,0,0,0,0,"1,906",Addendum
,,Bowie,0,0,0,0,"5,293",Addendum
,,Brady,0,0,0,0,"5,616",Addendum
,,Brazoria,0,0,0,0,"3,133",Addendum
,,Breckenridge,0,0,0,0,"5,815",Addendum
,,Bremond,0,0,0,0,950,Addendum
,,Brenham,0,0,0,0,"15,988",Addendum
,,Bridge City,0,0,0,0,"8,020",Addendum
,,Bridgeport,0,0,0,0,"6,138",Addendum
,,Brookshire,0,0,0,0,"4,865",Addendum
,,Brookside Village,0,0,0,0,"1,581",Addendum
,,Brownfield,0,0,0,0,"9,820",Addendum
,,Brownsville,0,0,0,0,"181,102",Addendum
,,Brownwood,0,0,0,0,"19,618",Addendum
,,Bruceville-Eddy,0,0,0,0,"1,521",Addendum
,,Bryan,0,0,0,0,"78,479",Addendum
,,Buda,0,0,0,0,"7,797",Addendum
,,Bullard,0,0,0,0,"2,546",Addendum
,,Bulverde,0,0,0,0,"4,852",Addendum
,,Burnet,0,0,0,0,"6,128",Addendum
,,Cactus,0,0,0,0,"3,234",Addendum
,,Caddo Mills,0,0,0,0,"1,364",Addendum
,,Caldwell,0,0,0,0,"4,180",Addendum
,,Calvert,0,0,0,0,"1,218",Addendum
,,Cameron,0,0,0,0,"5,621",Addendum
,,Canton,0,0,0,0,"3,637",Addendum
,,Canyon,0,0,0,0,"13,773",Addendum
,,Carrollton,0,0,0,0,"124,477",Addendum
,,Carthage,0,0,0,0,"6,954",Addendum
,,Castle Hills,0,0,0,0,"4,280",Addendum
,,Castroville,0,0,0,0,"2,740",Addendum
,,Cedar Hill,0,0,0,0,"46,633",Addendum
,,Cedar Park,0,0,0,0,"52,051",Addendum
,,Celina,0,0,0,0,"6,350",Addendum
,,Childress,0,0,0,0,"6,149",Addendum
,,Chillicothe,0,0,0,0,723,Addendum
,,Cibolo,0,0,0,0,"19,580",Addendum
,,Cisco,0,0,0,0,"3,972",Addendum
,,Clarksville,0,0,0,0,"3,285",Addendum
,,Cleveland,0,0,0,0,"7,847",Addendum
,,Clifton,0,0,0,0,"3,509",Addendum
,,Clint,0,0,0,0,964,Addendum
,,Clute,0,0,0,0,"11,631",Addendum
,,Clyde,0,0,0,0,"3,759",Addendum
,,Cockrell Hill,0,0,0,0,"4,343",Addendum
,,Coleman,0,0,0,0,"4,709",Addendum
,,College Station,0,0,0,0,"96,567",Addendum
,,Colleyville,0,0,0,0,"23,677",Addendum
,,Collinsville,0,0,0,0,"1,655",Addendum
,,Colorado City,0,0,0,0,"4,221",Addendum
,,Columbus,0,0,0,0,"3,699",Addendum
,,Comanche,0,0,0,0,"4,373",Addendum
,,Combes,0,0,0,0,"2,996",Addendum
,,Converse,0,0,0,0,"18,922",Addendum
,,Coppell,0,0,0,0,"40,053",Addendum
,,Corinth,0,0,0,0,"20,971",Addendum
