Year,State,Agency Type,Agency name,q01,q02,q03,q04,Population2
2014,Connecticut,Cities,Cheshire,0,1,0,0,29120
2014,Connecticut,Cities,Coventry,0,0,0,1,12403
2014,Connecticut,Cities,Danbury,1,1,0,0,84281
2014,Connecticut,Cities,Derby,0,0,0,1,12776
2014,Connecticut,Cities,East Hartford,0,1,0,0,51185
2014,Connecticut,Cities,Easton,0,0,0,1,7645
2014,Connecticut,Cities,Enfield, Nan, Nan, Nan,1,44769
2014,Connecticut,Cities,Fairfield,1,0,0,0,61146
2014,Connecticut,Cities,Farmington,0,0,1,0,25678
2014,Connecticut,Cities,Glastonbury,0,0,0,1,34850
2014,Connecticut,Cities,Greenwich,1,0,0,0,62676
2014,Connecticut,Cities,Groton Town,1,1,0,1,30339
2014,Connecticut,Cities,Hamden,0,0,0,1,61599
2014,Connecticut,Cities,Manchester2,2,2,1,2,58204
2014,Connecticut,Cities,Meriden,0,0,1,0,60352
2014,Connecticut,Cities,Middlebury,0,0,0,1,7569
2014,Connecticut,Cities,Middletown,3,1,0,2,47256
2014,Connecticut,Cities,Milford,0,1,1,1,53222
2014,Connecticut,Cities,New Britain,0,0,0,1,72864
2014,Connecticut,Cities,New Haven,2,4,0,2,130882
2014,Connecticut,Cities,Newington,1,0,0,0,30803
2014,Connecticut,Cities,New Milford,0,2,0,0,27681
2014,Connecticut,Cities,Newtown,1,1,1,0,28243
2014,Connecticut,Cities,North Haven,0,0,1,0,23901
2014,Connecticut,Cities,Norwalk,0,0,2,0,88232
2014,Connecticut,Cities,Norwich,1,0,0,0,40296
2014,Connecticut,Cities,Old Saybrook,0,3,1,0,10249
2014,Connecticut,Cities,Plainfield,0,0,1,0,15186
2014,Connecticut,Cities,Plymouth,1,0,0,0,12002
2014,Connecticut,Cities,Redding,0,1,0,1,9348
2014,Connecticut,Cities,Seymour,0,1,1,0,16579
2014,Connecticut,Cities,Shelton,0,0,0,1,41353
2014,Connecticut,Cities,Southington,0,1,0,1,43786
2014,Connecticut,Cities,Stamford,0,0,3,6,127385
2014,Connecticut,Cities,Stratford,1,1,2,0,52279
2014,Connecticut,Cities,Torrington,1,0,1,0,35432
2014,Connecticut,Cities,Vernon,0,1,2,1,29158
2014,Connecticut,Cities,Wallingford,0,0,0,1,45137
2014,Connecticut,Cities,Waterbury,0,3,1,0,109495
2014,Connecticut,Cities,Watertown,0,1,0,0,22161
2014,Connecticut,Cities,West Hartford,0,0,0,1,63360
2014,Connecticut,Cities,West Haven,0,1,0,0,54917
2014,Connecticut,Cities,Wilton,0,0,1,0,18807
2014,Connecticut,Cities,Winchester,0,0,0,2,10960
2014,Connecticut,Cities,Windsor,0,1,0,0,29154
2014,Connecticut,Cities,Woodbridge,0,0,0,1,8945
2014,Connecticut,Universities and Colleges,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Connecticut,Universities and Colleges,Southern Connecticut State University,1,0,0,0,10804
2014,Connecticut,Universities and Colleges,"University of Connecticut, Storrs, Avery Point and Hartford3",0,0,0,2,
2014,Connecticut,State Police Agencies,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Connecticut,State Police Agencies,Connecticut State Police,2,0,3,0,
2014,Delaware,Total,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Delaware,Cities,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Delaware,Cities,Camden,0,0,1,0,3518
2014,Delaware,Cities,Newark,0,0,0,1,32813
2014,Delaware,Cities,Rehoboth Beach,0,0,1,0,1416
2014,Delaware,Cities,Wilmington,0,1,1,0,71713
2014,Delaware,Metropolitan Counties,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Delaware,Metropolitan Counties,New Castle County Police Department,0,0,2,1,
2014,Delaware,State Police Agencies,@@DELETE ME@@, Nan, Nan, Nan, Nan,
2014,Delaware,State Police Agencies,State Police: , Nan, Nan, Nan, Nan,
