state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,addendum
,,Clifton,0,0,0,0,"3,509",1
,,Clint,0,0,0,0,964,1
,,Clute,0,0,0,0,"11,631",1
,,Clyde,0,0,0,0,"3,759",1
,,Cockrell Hill,0,0,0,0,"4,343",1
,,Coleman,0,0,0,0,"4,709",1
,,College Station,0,0,0,0,"96,567",1
,,Colleyville,0,0,0,0,"23,677",1
,,Collinsville,0,0,0,0,"1,655",1
,,Colorado City,0,0,0,0,"4,221",1
,,Columbus,0,0,0,0,"3,699",1
,,Comanche,0,0,0,0,"4,373",1
,,Combes,0,0,0,0,"2,996",1
,,Converse,0,0,0,0,"18,922",1
,,Coppell,0,0,0,0,"40,053",1
,,Corinth,0,0,0,0,"20,971",1
,,Corrigan,0,0,0,0,"1,633",1
,,Corsicana,0,0,0,0,"24,284",1
,,Crandall,0,0,0,0,"2,957",1
,,Crane,0,0,0,0,"3,410",1
,,Crockett,0,0,0,0,"6,975",1
,,Crosbyton,0,0,0,0,"1,776",1
,,Crowell,0,0,0,0,965,1
,,Crowley,0,0,0,0,"13,328",1
,,Crystal City,0,0,0,0,"7,355",1
,,Cuero,0,0,0,0,"7,001",1
,,Cumby,0,0,0,0,794,1
,,Daingerfield,0,0,0,0,"2,579",1
,,Dalhart,0,0,0,0,"8,124",1
,,Dalworthington Gardens,0,0,0,0,"2,345",1
,,Danbury,0,0,0,0,"1,780",1
,,Dayton,0,0,0,0,"7,416",1
,,Decatur,0,0,0,0,"6,206",1
,,Deer Park,0,0,0,0,"33,196",1
,,De Kalb,0,0,0,0,"1,708",1
,,De Leon,0,0,0,0,"2,266",1
,,Del Rio,0,0,0,0,"36,302",1
,,Denver City,0,0,0,0,"4,617",1
,,Desoto,0,0,0,0,"50,795",1
,,Devine,0,0,0,0,"4,452",1
,,Diboll,0,0,0,0,"4,896",1
,,Dickinson,0,0,0,0,"19,251",1
,,Dilley,0,0,0,0,"3,988",1
,,Dimmitt,0,0,0,0,"4,489",1
,,Donna,0,0,0,0,"16,518",1
,,Double Oak,0,0,0,0,"3,014",1
,,Driscoll,0,0,0,0,757,1
,,Dublin,0,0,0,0,"3,746",1
,,Dumas,0,0,0,0,"14,946",1
,,Duncanville,0,0,0,0,"39,899",1
,,Eagle Lake,0,0,0,0,"3,684",1
,,Eagle Pass,0,0,0,0,"27,208",1
,,Early,0,0,0,0,"2,810",1
,,Eastland,0,0,0,0,"4,029",1
,,East Mountain,0,0,0,0,815,1
,,Edcouch,0,0,0,0,"3,305",1
,,Edgewood,0,0,0,0,"1,467",1
,,Edinburg,0,0,0,0,"80,332",1
,,El Campo,0,0,0,0,"11,786",1
,,Electra,0,0,0,0,"2,814",1
,,Elgin,0,0,0,0,"8,386",1
,,Elsa,0,0,0,0,"5,918",1
,,Ennis,0,0,0,0,"19,184",1
,,Euless,0,0,0,0,"53,228",1
,,Fairfield,0,0,0,0,"2,974",1
,,Fair Oaks Ranch,0,0,0,0,"6,254",1
,,Falfurrias,0,0,0,0,"5,055",1
,,Farmers Branch,0,0,0,0,"29,637",1
,,Farmersville,0,0,0,0,"3,478",1
,,Farwell,0,0,0,0,"1,393",1
,,Ferris,0,0,0,0,"2,524",1
,,Flatonia,0,0,0,0,"1,415",1
,,Florence,0,0,0,0,"1,209",1
,,Floresville,0,0,0,0,"6,672",1
,,Floydada,0,0,0,0,"3,058",1
,,Forest Hill,0,0,0,0,"12,825",1
,,Fort Stockton,0,0,0,0,"8,530",1
,,Frankston,0,0,0,0,"1,243",1
,,Fredericksburg,0,0,0,0,"10,802",1
,,Freeport,0,0,0,0,"12,501",1
,,Freer,0,0,0,0,"2,832",1
,,Friendswood,0,0,0,0,"36,965",1
,,Friona,0,0,0,0,"4,211",1
