state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population
,,San Ramon,0,2,0,0,"50,006"
,,Santa Ana,0,1,1,2,"340,240"
,,Santa Barbara,1,0,2,0,"85,967"
,,Santa Clarita,1,2,3,0,"170,458"
,,Santa Cruz,4,3,3,1,"56,860"
,,Santa Maria,0,0,1,1,"87,803"
,,Santa Monica,0,0,1,0,"87,817"
,,Santa Rosa,0,0,1,1,"158,182"
,,Santee,3,0,0,1,"55,533"
,,Scotts Valley,1,0,0,0,"11,243"
,,Shafter,0,0,1,0,"16,247"
,,Sierra Madre,1,0,0,1,"10,796"
,,Simi Valley,0,2,0,2,"121,755"
,,Soledad,0,2,0,0,"28,655"
,,Sonoma,0,0,0,1,"10,068"
,,Sonora,0,1,0,0,"4,627"
,,South Gate,0,0,1,0,"96,182"
,,South Lake Tahoe,0,1,0,3,"23,540"
,,Stanton,2,0,0,0,"37,912"
,,Stockton,2,0,0,0,"292,047"
,,Sunnyvale,1,0,0,2,"134,073"
,,Tehachapi,1,0,0,0,"12,137"
,,Temecula,1,0,0,1,"102,474"
,,Temple City,1,0,0,0,"38,648"
,,Thousand Oaks,1,1,2,0,"124,042"
,,Torrance,1,0,1,1,"140,411"
,,Tracy,1,1,0,0,"81,712"
,,Truckee,0,1,0,0,"16,491"
,,Turlock,0,1,0,1,"69,961"
,,Tustin,0,1,0,1,"72,982"
,,Union City,0,0,1,1,"73,356"
,,Upland,0,1,1,0,"73,341"
,,Vacaville,0,0,1,1,"92,177"
,,Vallejo,1,2,1,2,"114,258"
,,Ventura,2,1,2,1,"104,661"
,,Visalia,0,0,3,2,"125,036"
,,Vista,1,0,1,1,"92,765"
,,Walnut Creek,0,0,1,1,"63,897"
,,Watsonville,0,0,3,0,"51,488"
,,West Covina,1,0,1,0,"105,395"
,,West Hollywood,1,3,3,2,"35,885"
,,Westminster,2,2,2,1,"89,604"
,,Whittier,0,0,1,0,"81,611"
,,Yorba Linda,0,0,1,0,"66,813"
,Universities and Colleges,,,,,,
,,Allan Hancock College,1,1,0,0,"11,070"
,,California State Polytechnic University: Pomona,2,1,0,0,"22,273"
,,California State University:,,,,,
,,Channel Islands,0,0,0,1,"3,862"
,,Dominguez Hills,0,1,0,0,"14,477"
,,Fresno,0,0,1,0,"21,500"
,,Fullerton,0,1,0,0,"36,262"
,,Long Beach,0,1,0,0,"35,557"
,,Northridge,0,0,2,1,"35,198"
,,San Bernardino,1,0,0,0,"17,852"
,,San Marcos,6,4,0,0,"9,767"
,,Riverside Community College,0,0,0,1,"36,586"
,,San Diego State University,0,1,0,0,"32,817"
,,University of California:,,,,,
