state,agencyType,agencyName,quarter1,quarter2,quarter3,quarter4,population,addendum,,,,
,Cities,,,,,,,0,,,,
,,Milton,0,0,1,0,"2,650",0,,,,
,,Wilmington,0,2,1,0,"72,088",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,New Castle County Police Department,0,1,0,2,,0,,,,
,State Police Agencies,,,,,,,0,,,,
,,State Police:,,,,,,0,,,,
,,New Castle County,1,0,0,0,,0,,,,
,,Sussex County,1,0,1,0,,0,,,,
District of Columbia,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Washington,19,19,19,14,"632,323",0,,,,
,Other Agencies,,,,,,,0,,,,
,,Metro Transit Police,0,0,1,0,,0,,,,
Florida,Total,,,,,,,0,,,,
,Cities,,,,,,,0,,,,
,,Apopka,1,0,0,0,"43,046",0,,,,
,,Aventura,0,1,0,0,"37,110",0,,,,
,,Bartow,0,0,1,0,"17,740",0,,,,
,,Cape Coral,0,0,0,1,"159,625",0,,,,
,,Casselberry,0,1,0,0,"26,747",0,,,,
,,Clermont,1,0,0,0,"29,523",0,,,,
,,Coral Gables,0,1,1,0,"48,435",0,,,,
,,Deland,0,1,0,0,"27,410",0,,,,
,,Fort Lauderdale,0,0,1,0,"170,827",0,,,,
,,Fort Myers,1,0,0,0,"64,379",0,,,,
,,Gainesville,1,0,3,1,"127,036",0,,,,
,,Green Cove Springs,1,0,0,0,"7,053",0,,,,
,,Homestead,1,1,1,0,"62,785",0,,,,
,,Jacksonville,2,1,0,1,"840,660",0,,,,
,,Jupiter,0,3,0,0,"56,674",0,,,,
,,Key West,2,1,1,0,"25,249",0,,,,
,,Lake Clarke Shores,1,0,0,0,"3,462",0,,,,
,,Lakeland,1,0,0,0,"99,934",0,,,,
,,Largo,0,0,0,2,"78,783",0,,,,
,,Leesburg,0,0,0,1,"20,668",0,,,,
,,Melbourne,3,5,1,0,"77,133",0,,,,
,,Miami Gardens,0,0,1,1,"111,177",0,,,,
,,Miramar,2,1,0,0,"125,998",0,,,,
,,New Smyrna Beach,0,0,0,1,"22,788",0,,,,
,,North Port,1,0,2,1,"58,568",0,,,,
,,Oakland Park,0,1,0,0,"42,701",0,,,,
,,Ocoee,0,0,0,1,"36,816",0,,,,
,,Orange Park,1,0,0,0,"8,592",0,,,,
,,Orlando,1,2,0,0,"246,513",0,,,,
,,Ormond Beach,1,0,0,0,"38,674",0,,,,
,,Oviedo,1,0,0,0,"33,985",0,,,,
,,Palm Bay,1,0,0,0,"104,635",0,,,,
,,Pensacola,1,2,1,0,"52,909",0,,,,
,,Pinellas Park,0,0,0,1,"49,821",0,,,,
,,Pompano Beach,0,0,3,0,"103,003",0,,,,
,,Port St. Lucie,1,0,0,1,"168,416",0,,,,
,,Sanford,0,0,0,1,"54,662",0,,,,
,,Stuart,1,1,0,0,"15,932",0,,,,
,,Tallahassee,0,1,0,0,"185,461",0,,,,
,,Temple Terrace,0,0,0,1,"25,659",0,,,,
,,Village of Pinecrest,1,0,0,0,"18,912",0,,,,
,,Wellington,0,0,0,1,"57,943",0,,,,
,,Wilton Manors,0,1,1,0,"12,005",0,,,,
,,Winter Garden,0,0,0,3,"35,768",0,,,,
,Universities and Colleges,,,,,,,0,,,,
,,New College of Florida,0,0,0,1,845,0,,,,
,,University of Central Florida,0,1,0,0,"58,465",0,,,,
,,University of Florida,0,0,3,1,"49,589",0,,,,
,,University of South Florida: Tampa,0,0,2,0,"39,596",0,,,,
,,University of West Florida,0,2,1,0,"11,982",0,,,,
,Metropolitan Counties,,,,,,,0,,,,
,,Alachua,0,1,1,1,,0,,,,
,,Baker,1,0,0,0,,0,,,,
,,Brevard,0,0,1,0,,0,,,,
,,Clay,1,0,0,1,,0,,,,
,,Collier,0,0,2,0,,0,,,,
,,Escambia,0,0,0,1,,0,,,,
,,Flagler,0,1,0,0,,0,,,,
,,Hillsborough,1,0,0,1,,0,,,,
,,Lake,0,2,0,1,,0,,,,
,,Marion,1,0,0,0,,0,,,,
,,Okaloosa,0,0,1,0,,0,,,,
,,Orange,0,3,5,8,,0,,,,
,,Osceola,1,0,1,1,,0,,,,
,,Palm Beach,0,0,0,1,,0,,,,
,,Pasco,0,0,0,1,,0,,,,
