Table 13,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,
"per Bias Motivation and Quarter
by State and Agency, 2011",,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,Number of incidents per quarter1,,,,Population2
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,Selma,0,0,1,0,0,0,1,0,0,"23,492"
,,Simi Valley,1,2,0,0,0,1,0,1,1,"125,698"
,,Soledad,0,0,0,1,0,1,0,0,0,"26,041"
,,Sonora,1,0,0,0,1,1,0,0,1,"4,961"
,,South Gate,0,0,1,1,0,0,1,1,0,"95,506"
,,South Lake Tahoe,0,0,0,0,1,1,0,0,0,"21,655"
,,South San Francisco,1,0,0,0,0,0,0,0,1,"64,380"
,,Stanton,1,0,0,0,0,1,0,0,0,"38,635"
,,Stockton,2,1,0,0,0,1,0,2,0,"295,136"
,,Sunnyvale,0,1,0,0,0,0,0,0,1,"141,728"
,,Susanville,1,0,0,0,0,0,0,0,1,"18,158"
,,Tehachapi,1,0,1,0,0,1,0,1,0,"14,583"
,,Temple City,0,0,0,1,0,0,1,0,0,"35,976"
,,Thousand Oaks,1,4,0,1,0,2,0,3,1,"128,172"
,,Torrance,1,0,0,0,0,1,0,0,0,"147,148"
,,Tracy,2,0,0,0,0,1,0,1,0,"83,897"
,,Turlock,0,0,0,1,0,0,1,0,0,"69,355"
,,Tustin,0,0,0,2,0,0,2,0,0,"76,428"
,,Union City,0,0,2,1,0,0,0,3,0,"70,333"
,,Upland,2,0,0,0,0,1,0,1,0,"74,599"
,,Vallejo,1,0,1,0,0,1,1,0,0,"117,305"
,,Ventura,1,0,0,1,0,1,0,1,0,"107,684"
,,Victorville,2,0,0,1,0,1,1,1,0,"117,266"
,,Visalia,0,0,0,1,0,0,1,,0,"125,905"
,,Vista,1,3,0,2,0,2,2,2,0,"94,937"
,,Walnut Creek,5,8,1,1,0,3,6,2,4,"64,927"
,,Watsonville,1,0,0,0,0,0,1,0,0,"51,801"
,,West Covina,3,0,1,0,0,1,3,0,0,"107,345"
,,West Hollywood,2,0,9,0,0,5,1,2,3,"34,803"
,,Westlake Village,0,1,0,0,0,0,0,0,1,"8,367"
,,Westminster,5,1,0,1,0,1,,5,1,"90,756"
,,Whittier,1,0,0,0,0,0,0,1,0,"86,334"
,,Woodland,0,0,1,0,0,0,0,1,0,"56,120"
,,Yorba Linda,0,1,0,0,0,0,0,0,1,"64,989"
,Universities and Colleges,,16,5,5,5,0,,,,,
,,Allan Hancock College,1,0,0,0,0,0,1,0,0,"12,108"
,,California State University:,,,,,,,,,,
,,Long Beach,0,0,0,1,0,1,0,0,0,"33,416"
,,Los Angeles,1,0,0,0,0,0,1,0,0,"20,142"
,,Northridge,1,2,1,0,0,1,2,0,1,"35,272"
,,San Jose4,1,0,0,0,0,0,0,1,0,
,,San Marcos,0,0,1,0,0,0,0,0,1,"9,722"
,,Contra Costa Community College,1,0,0,0,0,1,0,0,0,"7,975"
,,Foothill-De Anza College,0,0,0,1,0,1,0,0,0,"41,104"
,,Humboldt State University,1,0,0,0,0,0,1,0,0,"7,903"
,,Riverside Community College,1,0,0,0,0,0,0,0,1,"20,585"
,,State Center Community College District,1,0,0,0,0,1,0,0,0,"38,821"
,,University of California:,,,,,,,,,,
,,Davis,0,0,1,0,0,1,0,0,0,"31,392"
,,Los Angeles,0,0,1,0,0,0,1,0,0,"38,157"
