Table 13,,,,,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,,,,,
"by State and Agency, 2014",,,,,,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,,Number of incidents per quarter,,,,Population1,, ,
,,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,Gender Identity,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",,,,
,,San Francisco County,2,0,0,0,0,0,0,1,1,0,0,,,,
Colorado,Total,,38,11,26,16,5,0,0,,,,,,,,
,Cities,,30,9,17,14,2,0,0,,,,,,,,
,,Arvada,1,0,0,0,0,0,0,0,1,0,0,"113,008",,,
,,Aurora,1,1,2,0,0,0,0,1,1,2,0,"350,948",,,
,,Brighton,0,0,1,0,0,0,0,0,0,0,1,"36,185",,,
,,Canon City,1,0,0,0,0,0,0,1,0,0,0,"16,291",,,
,,Castle Rock,0,1,0,1,0,0,0,0,0,1,1,"54,253",,,
,,Centennial,1,2,0,0,0,0,0,0,0,2,1,"107,485",,,
,,Colorado Springs,5,0,1,1,0,0,0,1,3,3,0,"444,949",,,
,,Commerce City,0,0,0,1,0,0,0,0,1,0,0,"50,754",,,
,,Denver,6,0,7,3,0,0,0,1,4,7,4,"665,353",,,
,,Durango,0,1,2,0,0,0,0,0,3,0,0,"17,710",,,
,,Fort Collins,3,0,0,0,0,0,0,0,1,2,0,"154,015",,,
,,Fort Morgan,1,0,0,1,0,0,0,2,0,0,0,"11,422",,,
,,Glendale,0,0,1,0,0,0,0,1,0,0,0,"4,558",,,
,,Glenwood Springs,2,0,0,0,0,0,0,0,1,1,0,"9,909",,,
,,Golden,1,0,0,0,0,0,0,0,0,0,1,"19,556",,,
,,Grand Junction,0,1,2,0,0,0,0,0,0,1,2,"59,972",,,
,,Greenwood Village,1,1,0,0,1,0,0,1,1,0,1,"14,824",,,
,,Gunnison,0,0,0,1,0,0,0,1,0,0,0,"5,865",,,
,,Idaho Springs,1,0,0,0,0,0,0,0,1,0,0,"1,677",,,
,,Lakewood,0,0,0,1,0,0,0,0,1,0,0,"148,236",,,
,,Lone Tree,0,1,0,0,0,0,0,0,0,1,0,"13,824",,,
,,Longmont,2,0,0,1,0,0,0,0,2,1,0,"90,813",,,
,,Loveland,0,1,0,0,0,0,0,1,0,0,0,"72,465",,,
,,New Castle,1,0,0,0,0,0,0,0,0,1,0,"4,595",,,
,,Parachute,1,0,0,0,0,0,0,1,0,0,0,"1,100",,,
,,Pueblo,0,0,1,1,1,0,0,1,1,1,0,"108,591",,,
,,Steamboat Springs,0,0,0,3,0,0,0,1,0,0,2,"12,114",,,
,,Sterling,2,0,0,0,0,0,0,1,1,0,0,"14,584",,,
,Universities and Colleges,,1,0,1,0,0,0,0,,,,,,,,
,,University of Colorado:,,,,,,,,,,,,,,,
,,Boulder,1,0,0,0,0,0,0,0,1,0,0,"32,017",,,
,,Colorado Springs,0,0,1,0,0,0,0,1,0,0,0,"11,321",,,
,Metropolitan Counties,,6,1,6,1,3,0,0,,,,,,,,
,,Douglas,1,0,0,0,0,0,0,1,0,0,0,,,,
