Table 13,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by State and Agency, 2015",,,,,,,,,,,,,
State,Agency Type,Agency name,Number of incidents per bias motivation,,,,,,Number of incidents per quarter,,,,Population1
,,,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
Identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,Port of San Diego Harbor,0,1,0,0,0,0,0,0,0,1,
,,San Francisco Bay Area Rapid Transit: ,,,,,,,,,,,
,,Alameda County,2,1,0,0,0,0,1,2,0,0,
,,Contra Costa County,1,1,0,0,0,0,1,0,1,0,
,,San Francisco County,1,0,0,0,0,0,0,1,0,0,
,,San Mateo County,1,1,0,0,0,0,1,0,0,1,
Colorado,Total,,65,16,20,3,0,3,,,,,
,Cities,,47,9,19,2,0,1,,,,,
,,Arvada,1,0,1,0,0,0,1,0,1,0,"115,379"
,,Aspen,1,0,0,0,0,0,0,0,0,1,"6,841"
,,Aurora,4,1,1,0,0,0,0,2,2,2,"360,237"
,,Basalt,1,0,0,0,0,0,0,0,1,0,"3,937"
,,Boulder,1,0,0,0,0,0,1,0,0,0,"106,823"
,,Breckenridge,1,0,0,0,0,0,0,1,0,0,"4,804"
,,Castle Rock,1,0,0,0,0,0,0,0,1,0,"57,699"
,,Centennial,1,0,0,0,0,0,0,1,0,0,"108,846"
,,Colorado Springs,5,1,2,0,0,0,2,2,3,1,"452,410"
,,Craig,1,0,0,0,0,0,0,1,0,0,"8,698"
,,Denver,8,2,9,1,0,0,3,8,6,3,"682,418"
,,Durango,1,0,1,0,0,0,0,2,0,0,"18,095"
,,Englewood,0,0,1,0,0,0,0,0,1,0,"33,037"
,,Fort Collins,3,0,1,0,0,0,1,1,2,0,"159,629"
,,Glenwood Springs,2,0,0,0,0,0,0,1,0,1,"9,914"
,,Golden,1,0,0,0,0,0,1,0,0,0,"20,448"
,,Grand Junction,1,0,1,0,0,0,0,1,1,0,"60,508"
,,Greeley,1,0,0,0,0,0,0,0,1,0,"99,993"
,,Greenwood Village,2,1,0,0,0,0,1,1,0,1,"15,760"
,,La Junta,1,0,0,0,0,0,0,1,0,0,"6,926"
,,Littleton,0,1,0,0,0,0,0,1,0,0,"45,363"
,,Longmont,2,0,0,0,0,0,1,0,1,0,"91,222"
,,Loveland,0,1,0,0,0,1,0,0,1,1,"74,139"
,,Pueblo,5,2,2,0,0,0,3,2,0,4,"108,810"
,,Sterling,1,0,0,0,0,0,1,0,0,0,"14,574"
,,Trinidad,0,0,0,1,0,0,0,1,0,0,"7,995"
,,Walsenburg,2,0,0,0,0,0,0,1,1,0,"2,861"
,Universities and Colleges,,2,1,0,0,0,0,,,,,
,,Auraria Higher Education Center2,0,1,0,0,0,0,1,0,0,0,
,,University of Colorado:,,,,,,,,,,,
,,Boulder,1,0,0,0,0,0,0,1,0,0,"32,432"
,,Colorado Springs,1,0,0,0,0,0,0,0,0,1,"11,761"
,Metropolitan Counties,,14,4,1,1,0,2,,,,,
,,Adams,1,0,0,0,0,0,0,0,1,0,
,,Arapahoe,5,3,0,1,0,0,1,1,3,4,
,,Boulder,2,1,0,0,0,1,0,1,3,0,
,,El Paso,1,0,0,0,0,0,0,1,0,0,
,,Jefferson,0,0,0,0,0,1,0,1,0,0,
,,Larimer,1,0,1,0,0,0,1,1,0,0,
,,Mesa,1,0,0,0,0,0,0,1,0,0,
,,Pueblo,1,0,0,0,0,0,0,1,0,0,
,,Weld,2,0,0,0,0,0,0,0,2,0,
,Nonmetropolitan Counties,,2,2,0,0,0,0,,,,,
,,Garfield,1,1,0,0,0,0,0,2,0,0,
,,La Plata,0,1,0,0,0,0,1,0,0,0,
,,Pitkin,1,0,0,0,0,0,1,0,0,0,
Connecticut,Total,,62,19,9,4,0,0,,,,,
,Cities,,57,17,8,4,0,0,,,,,
,,Bethel,1,0,0,0,0,0,0,0,0,1,"19,560"
,,Bloomfield,0,2,0,0,0,0,0,0,2,0,"20,901"
,,Bridgeport,5,0,1,0,0,0,1,3,1,1,"148,313"
,,Bristol,1,0,1,0,0,0,0,1,0,1,"60,593"
,,Cheshire,1,0,0,0,0,0,0,1,0,0,"29,245"
,,Danbury,2,1,0,1,0,0,1,1,1,1,"84,404"
,,Derby,1,0,0,0,0,0,0,0,1,0,"12,735"
,,Groton Town,0,1,0,0,0,0,0,1,0,0,"30,387"
,,Guilford,2,0,0,0,0,0,,,,2,"22,421"
,,Hartford3,1,1,1,0,0,0,,1,1,,"124,553"
,,Manchester,1,1,1,0,0,0,,1,,2,"58,070"
,,Meriden,1,0,0,1,0,0,,1,1,,"60,149"
,,Middletown,3,0,1,0,0,0,0,1,1,2,"46,894"
,,New Britain,1,0,0,0,0,0,,,1,,"72,788"
,,New Haven,7,0,1,0,0,0,1,4,2,1,"130,403"
,,Newington,1,0,0,0,0,0,,,,1,"30,714"
,,New London,1,0,0,0,0,0,0,0,0,1,"27,312"
,,New Milford,1,0,0,0,0,0,1,0,0,0,"27,317"
,,North Branford,0,1,0,0,0,0,1,0,0,0,"14,300"
,,North Haven,1,0,0,0,0,0,0,0,1,0,"23,865"
,,Norwalk,1,0,0,0,0,0,1,0,0,0,"88,692"
,,Old Saybrook,1,0,0,0,0,0,1,0,0,0,"10,213"
,,Plainfield,1,0,0,0,0,0,0,1,0,0,"15,071"
,,Redding,0,1,0,0,0,0,0,0,1,0,"9,344"
,,Simsbury,0,1,0,0,0,0,0,0,0,1,"24,093"
,,Southington,1,0,0,0,0,0,0,0,1,0,"43,979"
,,Stamford,7,2,0,1,0,0,2,1,2,5,"129,682"
,,Stonington,1,0,0,0,0,0,1,0,0,0,"18,505"
,,Stratford,2,0,0,0,0,0,1,0,1,0,"53,058"
,,Suffield,1,0,0,0,0,0,0,0,1,0,"15,823"
,,Torrington,3,1,0,0,0,0,0,1,0,3,"34,910"
