agencyName,agencyType,state,recent_population,zeroCount,dnrCount,reportCount,zeroClass,dnrClass,reportClass,popClass
Baldwin Borough,Cities,PENNSYLVANIA,19828,25,2,1,,,,
Baldwin City,Cities,KANSAS,4544,19,1,8,,,,
Baldwin Park,Cities,CALIFORNIA,77400,22,0,6,,,,
Baldwin Township,Cities,PENNSYLVANIA,1962,16,7,5,,,,
Baldwinsville Village,Cities,NEW YORK,7805,27,0,1,,,,
Ball,Cities,Louisiana,4014,4,0,24,,,,
Ball Ground,Cities,GEORGIA,1784,26,1,1,,,,
Ballard,Nonmetropolitan Counties,KENTUCKY,No Data,23,0,5,,,,
Ballinger,Cities,TEXAS,3767,27,0,1,,,,
Ballston Spa Village,Cities,NEW YORK,5366,26,0,2,,,,
Ballwin,Cities,MISSOURI,30609,27,0,1,,,,
Bally,Cities,PENNSYLVANIA,1105,25,2,1,,,,
Balsam Lake,Cities,Wisconsin,988,11,0,17,,,,
Baltimore,Cities,MARYLAND,2970,25,2,1,,,,
Baltimore City Sheriff,Cities,MARYLAND,No Data,27,0,1,,,,
Baltimore County,Metropolitan Counties,MARYLAND,No Data,27,0,1,,,,
Baltimore County Police Department,Metropolitan Counties,MARYLAND,No Data,11,0,17,,,,
Bamberg,Cities,SOUTH CAROLINA,No Data,27,0,1,,,,
Bancroft,Cities,Michigan,518,19,0,9,,,,
Bandera,Metropolitan Counties,TEXAS,No Data,27,0,1,,,,
Bandon,Cities,OREGON,3125,7,0,21,,,,
Baneberry,Cities,TENNESSEE,526,27,0,1,,,,
Bangor,Cities,MAINE,1498,27,0,1,,,,
Bangs,Cities,TEXAS,1575,27,0,1,,,,
Banks,Nonmetropolitan Counties,GEORGIA,1965,26,1,1,,,,
Banner Elk,Cities,NORTH CAROLINA,1163,27,0,1,,,,
Banning,Cities,CALIFORNIA,31191,23,0,5,,,,
Bannock,Metropolitan Counties,IDAHO,No Data,25,2,1,,,,
Bannockburn,Cities,ILLINOIS,1569,27,0,1,,,,
Bar Harbor,Cities,MAINE,5339,25,0,3,,,,
Baraboo,Cities,WISCONSIN,12174,27,0,1,,,,
Baraga,Nonmetropolitan Counties,MICHIGAN,No Data,27,0,1,,,,
Barber,Nonmetropolitan Counties,KANSAS,No Data,27,0,1,,,,
Barberton,Cities,Ohio,26172,15,0,13,,,,
Barbour,Nonmetropolitan Counties,ALABAMA,No Data,15,0,13,,,,
Barboursville,Cities,WEST VIRGINIA,4091,25,0,3,,,,
Barbourville,Cities,KENTUCKY,3174,26,0,2,,,,
Bardstown,Cities,KENTUCKY,13181,19,0,9,,,,
Bardwell,Cities,KENTUCKY,688,27,0,1,,,,
Bargersville,Cities,INDIANA,6554,9,3,16,,,,
Barling,Cities,ARKANSAS,4748,27,0,1,,,,
Barnegat Light,Cities,NEW JERSEY,575,26,1,1,,,,
Barnegat Township,Cities,NEW JERSEY,22272,22,1,5,,,,
