Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2
2010,,,Northglenn,1,0,0,0,34467
2010,,,Pagosa Springs,1,0,0,0,1814
2010,,,Pueblo,1,1,0,3,103612
2010,,,Steamboat Springs,0,0,0,1,12426
2010,,,Thornton,0,1,0,0,119989
2010,,,Trinidad,0,0,1,0,8933
2010,,,Wheat Ridge,1,0,2,0,30400
2010,,,Yuma,0,0,1,0,3240
2010,,Universities and Colleges,,,,,,
2010,,,"Colorado State University, Pueblo",1,0,0,0,6443
2010,,Metropolitan Counties,,,,,,
2010,,,Adams,1,0,1,0,
2010,,,Arapahoe,1,3,2,0,
2010,,,Douglas,3,4,5,1,
2010,,,Jefferson,0,0,0,1,
2010,,,Larimer,0,0,0,1,
2010,,,Mesa,0,0,0,1,
2010,,Nonmetropolitan Counties,,,,,,
2010,,,Montezuma,1,0,0,1,
2010,,,Summit,1,0,0,0,
2010,,State Police Agencies,,,,,,
2010,,,Colorado State Patrol,1,0,0,0,
2010,CONNECTICUT,Total,,,,,,
2010,,Cities,,,,,,
2010,,,Bridgeport,2,0,2,1,138810
2010,,,Coventry,3,2,1,0,12546
2010,,,Cromwell,1,0,0,1,13919
2010,,,Enfield,2,0,0,0,45837
2010,,,Fairfield,0,0,0,1,58331
2010,,,Glastonbury,0,2,1,0,33921
2010,,,Greenwich,0,1,0,0,63281
