Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2,,,,
,,,New Castle County,0,1,0,0,,,,,
,,,Sussex County,0,0,1,0,,,,,
,District of Columbia,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Washington,19,21,20,10,646449,,,,
,,Other Agencies,,,,,,,,,,
,,,Metro Transit Police,0,0,2,0,,,,,
,Florida,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Delray Beach,0,1,0,0,62887,,,,
,,,Gainesville,0,0,0,3,126589,,,,
,,,Hallandale,0,1,0,2,38710,,,,
,,,Homestead,2,1,0,0,64024,,,,
,,,Jacksonville,3,1,1,0,845745,,,,
,,,Jupiter,1,1,0,0,57826,,,,
,,,Lake Alfred,0,1,0,0,5148,,,,
,,,Largo,0,1,0,0,77913,,,,
,,,Melbourne,1,0,0,1,77277,,,,
,,,Miramar,0,1,0,0,130926,,,,
,,,North Miami,3,1,0,2,61120,,,,
,,,North Miami Beach,1,0,0,0,43417,,,,
,,,North Port,0,1,0,0,58699,,,,
,,,Orlando,2,0,0,0,253238,,,,
,,,Palm Bay,0,0,0,2,104391,,,,
,,,Panama City,0,2,0,0,36358,,,,
,,,Pembroke Pines,0,0,1,0,162064,,,,
,,,Pensacola,0,1,0,0,52454,,,,
,,,Pompano Beach,0,0,0,3,103971,,,,
,,,Port St. Lucie,1,0,0,0,169877,,,,
,,,Sanford,0,0,1,0,54972,,,,
,,,St. Petersburg,0,1,0,0,247084,,,,
,,,Sunrise,1,0,0,0,90274,,,,
,,,Tallahassee,0,1,0,0,188714,,,,
,,,Venice,2,0,0,0,21151,,,,
,,,Weston,0,0,0,1,68369,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Alachua,1,0,0,0,,,,,
,,,Brevard,0,0,1,0,,,,,
,,,Charlotte,0,0,0,1,,,,,
,,,Clay,0,0,0,1,,,,,
,,,Collier,0,0,0,1,,,,,
,,,Flagler,2,0,0,0,,,,,
,,,Hillsborough,0,1,0,0,,,,,
,,,Lake,0,1,0,0,,,,,
,,,Manatee,0,0,1,0,,,,,
,,,Orange,6,2,0,2,,,,,
,,,Osceola,1,0,1,0,,,,,
,,,Palm Beach,1,0,0,0,,,,,
,,,Pasco,1,0,0,0,,,,,
,,,Santa Rosa,1,0,0,0,,,,,
,,,Volusia,0,1,0,1,,,,,
,Georgia,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Atlanta,8,11,2,0,451020,,,,
,,,Conyers,0,0,0,1,15465,,,,
,,,Villa Rica,1,0,0,0,14307,,,,
,,Universities and Colleges,,,,,,,,,,
,,,Kennesaw State University,1,0,0,1,24604,,,,
,,,University of Georgia,1,0,0,3,34519,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Cobb County Police Department,1,12,8,6,,,,,
,,,Henry County Police Department,0,1,0,0,,,,,
,Idaho,Total,,,,,,,,,,
,,Cities,,,,,,,,,,
,,,Boise,2,0,7,4,214330,,,,
,,,Caldwell,1,0,0,0,48069,,,,
,,,Chubbuck,0,0,0,3,14224,,,,
,,,Coeur d'Alene,0,1,0,1,46023,,,,
,,,Hailey,0,0,1,0,7915,,,,
,,,Montpelier,0,0,1,0,2520,,,,
,,,Nampa,2,1,1,0,84634,,,,
,,,Payette,1,0,0,1,7442,,,,
,,,Twin Falls,0,1,0,0,45378,,,,
,,Metropolitan Counties,,,,,,,,,,
,,,Ada,0,1,0,1,,,,,
,,Nonmetropolitan Counties,,,,,,,,,,
,,,Cassia,1,0,0,0,,,,,
,,,Shoshone,0,0,1,0,,,,,
