Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2,,,,
,,,Pickens County,,,0,,,,,,
,,,Richland County,,0,0,0,,,,,
,,,Saluda County,,,0,0,,,,,
,,,Spartanburg County,,,0,0,,,,,
,,,Sumter County,,,0,0,,,,,
,,,Union County,,,0,0,,,,,
,,,Williamsburg County,,,0,0,,,,,
,,,York County,,,0,0,,,,,
,,,"Department of Public Safety, Illegal Immigration Enforcement Unit",0,0,0,0,,,,,
,,,Employment Security Commission,0,0,0,,,,,,
,,,Forestry Commission:,,,,,,,,,
,,,Abbeville County,0,,,,,,,,
,,,Aiken County,0,0,,,,,,,
,,,Allendale County,0,,,,,,,,
,,,Bamberg County,0,0,,0,,,,,
,,,Barnwell County,0,,,0,,,,,
,,,Beaufort County,0,0,,,,,,,
,,,Berkeley County,0,0,0,0,,,,,
,,,Calhoun County,0,0,,0,,,,,
,,,Cherokee County,,,0,,,,,,
,,,Chester County,,0,,0,,,,,
,,,Chesterfield County,0,0,0,,,,,,
,,,Clarendon County,0,,,,,,,,
,,,Colleton County,0,,,,,,,,
,,,Darlington County,0,,,,,,,,
,,,Dorchester County,0,0,,,,,,,
,,,Florence County,0,0,,,,,,,
,,,Georgetown County,0,0,,,,,,,
,,,Hampton County,0,0,,,,,,,
,,,Horry County,0,,,,,,,,
,,,Jasper County,0,,,0,,,,,
,,,Kershaw County,0,0,0,,,,,,
,,,Lancaster County,0,0,,,,,,,
,,,Laurens County,0,,,,,,,,
,,,Lee County,0,0,,,,,,,
,,,Lexington County,0,,,,,,,,
,,,Marion County,0,,,,,,,,
,,,Marlboro County,0,,,,,,,,
,,,Newberry County,,0,,,,,,,
,,,Orangeburg County,0,0,0,0,,,,,
,,,Richland County,0,0,0,0,,,,,
,,,Sumter County,0,0,0,0,,,,,
,,,Union County,,0,,,,,,,
,,,Williamsburg County,0,0,0,,,,,,
,,,Greenville Hospital,0,0,0,0,,,,,
,,,Greenville-Spartanburg International Airport,0,0,0,0,,,,,
,,,Lexington County Medical Center,0,0,0,0,,,,,
,,,South Carolina Division of Public Railways,0,0,0,0,,,,,
,,,South Carolina School for the Deaf and Blind,0,0,0,0,,,,,
,,,State Museum,0,0,0,0,,,,,
,,,State Ports Authority,0,0,0,0,,,,,
,,,State Transport Police:,,,,,,,,,
,,,Abbeville County,0,0,0,0,,,,,
,,,Aiken County,0,0,0,0,,,,,
,,,Allendale County,0,0,0,0,,,,,
,,,Anderson County,0,0,0,0,,,,,
,,,Bamberg County,0,0,0,0,,,,,
,,,Barnwell County,0,0,0,0,,,,,
,,,Beaufort County,0,0,0,0,,,,,
,,,Berkeley County,0,0,0,0,,,,,
,,,Charleston County,0,0,0,0,,,,,
,,,Cherokee County,0,0,0,0,,,,,
,,,Clarendon County,0,0,0,0,,,,,
,,,Colleton County,0,0,0,0,,,,,
,,,Darlington County,0,0,0,0,,,,,
,,,Dillon County,0,0,0,0,,,,,
,,,Dorchester County,0,0,0,0,,,,,
,,,Edgefield County,0,0,0,0,,,,,
,,,Fairfield County,0,0,0,0,,,,,
,,,Florence County,0,0,0,0,,,,,
,,,Georgetown County,0,0,0,0,,,,,
,,,Greenville County,0,0,0,0,,,,,
,,,Greenwood County,0,0,0,0,,,,,
,,,Horry County,0,0,0,0,,,,,
,,,Jasper County,0,0,0,0,,,,,
,,,Kershaw County,0,0,0,0,,,,,
,,,Laurens County,0,0,0,0,,,,,
,,,Lee County,0,0,0,0,,,,,
,,,Lexington County,0,0,0,0,,,,,
,,,Marion County,0,0,0,0,,,,,
,,,Marlboro County,0,0,0,0,,,,,
,,,Newberry County,0,0,0,0,,,,,
,,,Oconee County,0,0,0,0,,,,,
,,,Orangeburg County,0,0,0,0,,,,,
,,,Richland County,0,0,0,0,,,,,
,,,Saluda County,0,0,0,0,,,,,
,,,Spartanburg County,0,0,0,0,,,,,
,,,Sumter County,0,0,0,0,,,,,
,,,Union County,0,0,0,0,,,,,
,,,Williamsburg County,0,0,0,0,,,,,
,,,York County,0,0,0,0,,,,,
,,,"United States Department of Energy, Savannah River Plant",0,0,0,0,,,,,
,South Dakota,Cities,Alcester,,,,0,809,,,,
,,,Avon,0,0,0,0,581,,,,
,,,Belle Fourche,0,0,0,0,5676,,,,
,,,Beresford,0,0,0,0,2049,,,,
,,,Box Elder,0,0,0,0,9079,,,,
,,,Brandon,0,0,0,0,9393,,,,
,,,Brookings,0,0,0,0,22741,,,,
,,,Canton,0,0,0,0,3268,,,,
,,,Centerville,0,0,0,0,887,,,,
,,,Chamberlain,0,0,0,0,2405,,,,
,,,Clark,0,0,0,0,1045,,,,
,,,Deadwood,0,0,0,0,1260,,,,
,,,Eagle Butte,0,0,0,0,1363,,,,
,,,Estelline,0,0,0,0,757,,,,
,,,Faith,0,0,0,0,420,,,,
,,,Flandreau,0,0,0,0,2311,,,,
,,,Freeman,0,0,0,0,1260,,,,
,,,Gettysburg,0,0,0,0,1180,,,,
,,,Hot Springs,0,0,0,0,3541,,,,
,,,Hoven,0,0,0,0,409,,,,
,,,Huron,0,0,0,0,12956,,,,
,,,Irene,0,0,0,0,419,,,,
,,,Jefferson,0,0,0,0,547,,,,
,,,Kadoka,0,0,0,0,695,,,,
,,,Kimball,0,0,0,0,707,,,,
,,,Lead,0,0,0,0,3076,,,,
,,,Lennox,0,0,0,0,2229,,,,
,,,Leola,0,0,0,0,449,,,,
,,,Madison,0,0,0,0,6904,,,,
,,,Martin,0,0,0,0,1071,,,,
,,,Menno,0,0,0,0,587,,,,
,,,Miller,0,0,0,0,1460,,,,
,,,Mobridge,0,0,0,0,3478,,,,
,,,North Sioux City,0,0,0,0,2550,,,,
,,,Parkston,0,0,0,0,1471,,,,
,,,Philip,0,0,0,0,782,,,,
,,,Pierre,0,0,0,0,13996,,,,
,,,Rosholt,0,0,0,0,427,,,,
,,,Scotland,0,0,0,0,832,,,,
,,,Selby,0,0,0,0,640,,,,
,,,Sisseton,0,0,0,0,2505,,,,
,,,Spearfish,0,0,0,0,10778,,,,
,,,Springfield,0,0,0,0,1979,,,,
,,,Sturgis,0,0,0,0,6652,,,,
,,,Summerset,0,0,0,0,1923,,,,
,,,Tea,0,0,0,0,4459,,,,
,,,Tripp,0,0,0,0,625,,,,
,,,Tyndall,0,0,0,0,1054,,,,
,,,Viborg,0,0,0,0,773,,,,
,,,Wagner,0,0,0,0,1575,,,,
,,,Watertown,0,0,0,0,21900,,,,
,,,Whitewood,0,0,0,0,934,,,,
,,,Winner,0,0,0,0,2821,,,,
,,,Worthing,0,0,0,0,927,,,,
,,,Yankton,0,0,0,0,14561,,,,
,,Universities and Colleges,South Dakota State University,0,0,0,0,12583,,,,
,,Metropolitan Counties,Custer,0,0,0,0,,,,,
,,,Lincoln,0,0,0,0,,,,,
,,,McCook,0,0,0,0,,,,,
,,,Meade,0,0,0,0,,,,,
,,,Minnehaha,0,0,0,0,,,,,
,,,Pennington,0,0,0,0,,,,,
,,,Turner,0,0,0,0,,,,,
,,,Union,0,0,0,0,,,,,
,,Nonmetropolitan Counties,Aurora,0,0,0,0,,,,,
,,,Beadle,0,0,0,0,,,,,
,,,Bennett,0,0,0,0,,,,,
,,,Bon Homme,0,0,0,0,,,,,
,,,Brookings,0,0,0,0,,,,,
,,,Brown,0,0,0,0,,,,,
,,,Butte,0,0,0,0,,,,,
,,,Campbell,0,0,0,0,,,,,
,,,Charles Mix,0,0,0,0,,,,,
,,,Clark,0,0,0,0,,,,,
,,,Clay,0,0,0,0,,,,,
,,,Davison,0,0,0,0,,,,,
,,,Deuel,0,0,0,0,,,,,
,,,Dewey,0,0,0,0,,,,,
,,,Douglas,0,0,0,0,,,,,
,,,Edmunds,0,0,0,0,,,,,
,,,Faulk,0,0,0,0,,,,,
,,,Hamlin,0,0,0,0,,,,,
,,,Hand,0,0,0,0,,,,,
,,,Hanson,0,0,0,0,,,,,
,,,Harding,0,0,0,0,,,,,
,,,Hughes,0,0,0,0,,,,,
,,,Jerauld,0,0,0,0,,,,,
,,,Lawrence,0,0,0,0,,,,,
,,,Marshall,0,0,0,0,,,,,
,,,McPherson,0,0,0,0,,,,,
,,,Mellette,0,0,0,0,,,,,
,,,Miner,0,0,0,0,,,,,
,,,Moody,0,0,0,0,,,,,
,,,Perkins,0,0,0,0,,,,,
,,,Potter,0,0,0,0,,,,,
,,,Roberts,0,0,0,0,,,,,
,,,Spink,0,0,0,0,,,,,
,,,Stanley,0,0,0,0,,,,,
,,,Sully,0,0,0,0,,,,,
,,,Tripp,0,0,0,0,,,,,
,,,Walworth,0,0,0,0,,,,,
,,,Yankton,0,0,0,0,,,,,
,,,Ziebach,0,0,0,0,,,,,
,,State Police Agencies,Highway Patrol,0,0,0,0,,,,,
,,Other Agencies,Division of Criminal Investigation,0,0,0,0,,,,,
,Tennessee,Cities,Adamsville,0,0,0,0,2235,,,,
,,,Alamo,0,0,0,0,2461,,,,
,,,Alcoa,0,0,0,0,8605,,,,
,,,Alexandria,0,0,0,0,975,,,,
,,,Algood,0,0,0,0,3517,,,,
,,,Ardmore,0,0,0,0,1206,,,,
,,,Baileyton,0,0,0,0,430,,,,
,,,Baneberry,0,0,0,0,501,,,,
,,,Bartlett,0,0,0,0,56360,,,,
,,,Baxter,0,0,0,0,1389,,,,
,,,Bean Station,0,0,0,0,2972,,,,
,,,Belle Meade,0,0,0,0,2999,,,,
,,,Bells,0,0,0,0,2451,,,,
,,,Benton,0,0,0,0,1330,,,,
,,,Berry Hill,0,0,0,0,551,,,,
,,,Big Sandy,0,0,0,0,549,,,,
,,,Blaine,0,0,0,0,1860,,,,
,,,Bluff City,0,0,0,0,1748,,,,
,,,Bolivar,0,0,0,0,5231,,,,
,,,Bradford,0,0,0,0,1030,,,,
,,,Brentwood,0,0,0,0,39635,,,,
,,,Brighton,0,0,0,0,2960,,,,
,,,Brownsville,0,0,0,0,9886,,,,
,,,Bruceton,0,0,0,0,1454,,,,
,,,Calhoun,0,0,0,0,493,,,,
,,,Camden,0,0,0,0,3634,,,,
,,,Carthage,0,0,0,0,2271,,,,
,,,Caryville,0,0,0,0,2270,,,,
,,,Celina,0,0,0,0,1494,,,,
,,,Centerville,0,0,0,0,3531,,,,
,,,Chapel Hill,0,0,0,0,1450,,,,
,,,Charleston,0,0,0,0,664,,,,
,,,Church Hill,0,0,0,0,6727,,,,
,,,Clarksburg,0,0,0,0,389,,,,
,,,Cleveland,0,0,0,0,42735,,,,
,,,Clifton,0,0,0,0,2697,,,,
,,,Clinton,0,0,0,0,9881,,,,
,,,Collierville,0,0,0,0,46726,,,,
,,,Collinwood,0,0,0,0,995,,,,
,,,Columbia,0,0,0,0,34952,,,,
,,,Cookeville,0,0,0,0,31174,,,,
,,,Coopertown,0,0,0,0,4310,,,,
,,,Copperhill,0,0,0,0,340,,,,
,,,Cornersville,0,0,0,0,1194,,,,
,,,Cowan,0,0,0,0,1705,,,,
,,,Cross Plains,0,0,0,0,1724,,,,
,,,Crossville,0,0,0,0,11199,,,,
,,,Crump,0,0,0,0,1417,,,,
,,,Cumberland City,0,0,0,0,306,,,,
,,,Dandridge,0,0,0,0,2862,,,,
,,,Dayton,0,0,0,0,7351,,,,
,,,Decatur,0,0,0,0,1570,,,,
,,,Decaturville,0,0,0,0,862,,,,
,,,Decherd,0,0,0,0,2451,,,,
,,,Dickson,0,0,0,0,14920,,,,
,,,Dover,0,0,0,0,1420,,,,
,,,Dresden,0,0,0,0,2954,,,,
,,,Dunlap,0,0,0,0,5005,,,,
,,,Dyer,0,0,0,0,2300,,,,
,,,Eagleville,0,0,0,0,620,,,,
,,,East Ridge,0,0,0,0,21386,,,,
,,,Elkton,0,0,0,0,569,,,,
,,,Englewood,0,0,0,0,1533,,,,
,,,Erin,0,0,0,0,1323,,,,
,,,Erwin,0,0,0,0,6038,,,,
,,,Estill Springs,0,0,0,0,2017,,,,
,,,Ethridge,0,0,0,0,469,,,,
,,,Etowah,0,0,0,0,3489,,,,
,,,Fairview,0,0,0,0,8059,,,,
,,,Friendship,0,0,0,0,672,,,,
,,,Gadsden,0,0,0,0,468,,,,
,,,Gainesboro,0,0,0,0,946,,,,
,,,Gallatin,0,0,0,0,31961,,,,
,,,Gallaway,0,0,0,0,668,,,,
,,,Gates,0,0,0,0,644,,,,
,,,Germantown,0,0,0,0,39631,,,,
,,,Gibson,0,0,0,0,384,,,,
,,,Gleason,0,0,0,0,1419,,,,
,,,Goodlettsville,0,0,0,0,16570,,,,
,,,Gordonsville,0,0,0,0,1198,,,,
,,,Grand Junction,0,0,0,0,312,,,,
,,,Greenbrier,0,0,0,0,6586,,,,
,,,Greenfield,0,0,0,0,2151,,,,
,,,Halls,0,0,0,0,2223,,,,
,,,Harriman,0,0,0,0,6240,,,,
,,,Henderson,0,0,0,0,6396,,,,
,,,Hendersonville,0,0,0,0,53617,,,,
,,,Henning,0,0,0,0,935,,,,
,,,Henry,0,0,0,0,463,,,,
,,,Hohenwald,0,0,0,0,3659,,,,
,,,Hollow Rock,0,0,0,0,707,,,,
,,,Hornbeak,0,0,0,0,417,,,,
,,,Huntingdon,0,0,0,0,3967,,,,
,,,Huntland,0,0,0,0,850,,,,
,,,Jacksboro,0,0,0,0,2002,,,,
,,,Jamestown,0,0,0,0,1952,,,,
,,,Jasper,0,0,0,0,3277,,,,
,,,Jefferson City,0,0,0,0,8213,,,,
,,,Jellico,0,0,0,0,2309,,,,
,,,Kenton,0,0,0,0,1251,,,,
,,,Kimball,0,0,0,0,1405,,,,
,,,Kingston,0,0,0,0,5850,,,,
,,,Kingston Springs,0,0,0,0,2767,,,,
,,,Lafayette,0,0,0,0,4756,,,,
,,,La Follette,0,0,0,0,7256,,,,
,,,La Vergne,0,0,0,0,34143,,,,
,,,Lawrenceburg,0,0,0,0,10445,,,,
,,,Lebanon,0,0,0,0,28208,,,,
,,,Lenoir City,0,0,0,0,8945,,,,
,,,Lewisburg,0,0,0,0,11242,,,,
,,,Lexington,0,0,0,0,7844,,,,
,,,Livingston,0,0,0,0,4082,,,,
,,,Lookout Mountain,0,0,0,0,1866,,,,
,,,Loretto,0,0,0,0,1727,,,,
,,,Loudon,0,0,0,0,5710,,,,
,,,Madisonville,0,0,0,0,4784,,,,
,,,Martin,0,0,0,0,11404,,,,
,,,Maryville,0,0,0,0,28009,,,,
,,,Maury City,0,0,0,0,678,,,,
,,,Maynardville,0,0,0,0,2382,,,,
,,,McEwen,0,0,0,0,1696,,,,
,,,McKenzie,0,0,0,0,5406,,,,
,,,Medina,0,0,0,0,3920,,,,
,,,Middleton,0,0,0,0,686,,,,
,,,Minor Hill,0,0,0,0,528,,,,
,,,Monteagle,0,0,0,0,1172,,,,
,,,Morristown,0,0,0,0,29300,,,,
,,,Moscow,0,0,0,0,547,,,,
,,,Mountain City,0,0,0,0,2504,,,,
,,,Mount Juliet,0,0,0,0,27542,,,,
,,,Mount Pleasant,0,0,0,0,4583,,,,
,,,Newbern,0,0,0,0,3332,,,,
,,,New Hope,0,0,0,0,1075,,,,
,,,New Johnsonville,0,0,0,0,1899,,,,
,,,New Market,0,0,0,0,1362,,,,
,,,Newport,0,0,0,0,6912,,,,
,,,New Tazewell,0,0,0,0,2974,,,,
,,,Niota,0,0,0,0,718,,,,
,,,Nolensville,0,0,0,0,6164,,,,
,,,Norris,0,0,0,0,1643,,,,
,,,Oakland,0,0,0,0,6976,,,,
,,,Oak Ridge,0,,,,29319,,,,
,,,Obion,0,0,0,0,1092,,,,
,,,Oneida,0,0,0,0,3740,,,,
,,,Parsons,0,0,0,0,2343,,,,
,,,Petersburg,0,0,0,0,544,,,,
,,,Pikeville,0,0,0,0,1599,,,,
,,,Piperton,0,0,0,0,1498,,,,
,,,Pittman Center,0,0,0,0,536,,,,
,,,Plainview,0,0,0,0,2094,,,,
,,,Pleasant View,0,0,0,0,4208,,,,
,,,Portland,0,0,0,0,11944,,,,
,,,Powells Crossroads,0,0,0,0,1321,,,,
,,,Pulaski,0,0,0,0,7717,,,,
,,,Puryear,0,0,0,0,672,,,,
,,,Red Bank,0,0,0,0,11865,,,,
,,,Red Boiling Springs,0,0,0,0,1119,,,,
,,,Ridgely,0,0,0,0,1734,,,,
,,,Ridgetop,0,0,0,0,1942,,,,
,,,Ripley,0,0,0,0,8373,,,,
,,,Rockwood,0,0,0,0,5475,,,,
,,,Lake City,0,0,0,0,1777,,,,
,,,Rogersville,0,0,0,0,4389,,,,
,,,Rutherford,0,0,0,0,1129,,,,
,,,Rutledge,0,0,0,0,1130,,,,
,,,Saltillo,0,0,0,0,520,,,,
,,,Samburg,0,0,0,0,213,,,,
,,,Savannah,0,0,0,0,6987,,,,
,,,Scotts Hill,0,0,0,0,989,,,,
,,,Selmer,0,0,0,0,4544,,,,
,,,Sevierville,0,0,0,0,15883,,,,
,,,Sewanee,0,0,0,0,2366,,,,
,,,Sharon,0,0,0,0,930,,,,
,,,Signal Mountain,0,0,0,0,7751,,,,
,,,Smithville,0,0,0,0,4592,,,,
,,,Smyrna,0,0,0,0,42240,,,,
,,,Sneedville,0,0,0,0,1359,,,,
,,,Soddy-Daisy,0,0,0,0,13004,,,,
,,,Somerville,0,0,0,0,3142,,,,
,,,South Carthage,0,0,0,0,1311,,,,
,,,South Fulton,0,0,0,0,2298,,,,
,,,South Pittsburg,0,0,0,0,3098,,,,
,,,Sparta,0,0,0,0,5088,,,,
,,,Spencer,0,0,0,0,1633,,,,
,,,Spring City,0,0,0,0,2000,,,,
,,,Springfield,0,0,0,0,16598,,,,
,,,St. Joseph,0,0,0,0,788,,,,
,,,Sunbright,0,0,0,0,551,,,,
,,,Surgoinsville,0,0,0,0,1786,,,,
,,,Sweetwater,0,0,0,0,5870,,,,
,,,Tazewell,0,0,0,0,2185,,,,
,,,Tellico Plains,0,0,0,0,893,,,,
,,,Tiptonville,0,0,0,0,4392,,,,
,,,Toone,0,0,0,0,351,,,,
,,,Townsend,0,0,0,0,450,,,,
,,,Tracy City,0,0,0,0,1473,,,,
,,,Trenton,0,0,0,0,4195,,,,
,,,Trezevant,0,0,0,0,852,,,,
,,,Trimble,0,0,0,0,630,,,,
,,,Troy,0,0,0,0,1342,,,,
,,,Tusculum,0,0,0,0,2677,,,,
,,,Union City,0,0,0,0,10738,,,,
,,,Vonore,0,0,0,0,1484,,,,
,,,Wartrace,0,0,0,0,649,,,,
,,,Watauga,0,0,0,0,452,,,,
,,,Watertown,0,0,0,0,1490,,,,
,,,Waverly,0,0,0,0,4139,,,,
,,,Waynesboro,0,0,0,0,2435,,,,
,,,Westmoreland,0,0,0,0,2254,,,,
,,,White Bluff,0,0,0,0,3318,,,,
,,,White House,0,0,0,0,10679,,,,
,,,White Pine,0,0,0,0,2227,,,,
,,,Whiteville,0,0,0,0,4580,,,,
,,,Whitwell,0,0,0,0,1702,,,,
,,,Winchester,0,0,0,0,8410,,,,
,,,Winfield,0,0,0,0,965,,,,
,,,Woodbury,0,0,0,0,2709,,,,
,,Universities and Colleges,Austin Peay State University,0,0,0,0,10597,,,,
,,,Cleveland State Community College,0,0,0,0,3640,,,,
,,,East Tennessee State University,0,0,0,0,15133,,,,
,,,Jackson State Community College,0,0,0,0,4494,,,,
,,,Middle Tennessee State University,0,0,0,0,25394,,,,
,,,Northeast State Community College,0,0,0,0,6446,,,,
,,,Roane State Community College,0,0,0,0,6508,,,,
,,,Tennessee State University,0,0,0,0,8740,,,,
,,,Tennessee Technological University,0,0,0,0,11469,,,,
,,,University of Memphis,0,0,0,0,22139,,,,
,,,University of Tennessee:,,,,,,,,,
,,,Chattanooga,0,0,0,0,11660,,,,
,,,Health Science Center3,0,0,0,0,,,,,
,,,Knoxville,0,0,0,0,29833,,,,
,,,Martin,0,0,0,0,7743,,,,
,,,Volunteer State Community College,0,0,0,0,8177,,,,
,,,Walters State Community College,0,0,0,0,6554,,,,
,,Metropolitan Counties,Anderson,0,0,0,0,,,,,
,,,Blount,0,0,0,0,,,,,
,,,Bradley,0,0,0,0,,,,,
,,,Campbell,0,0,0,0,,,,,
,,,Cannon,0,0,0,0,,,,,
,,,Carter,0,0,0,0,,,,,
,,,Cheatham,0,0,0,0,,,,,
,,,Chester,0,0,0,0,,,,,
,,,Crockett,0,0,0,0,,,,,
,,,Dickson,0,0,0,0,,,,,
,,,Fayette,0,0,0,0,,,,,
,,,Grainger,0,0,0,0,,,,,
,,,Hamblen,0,0,0,0,,,,,
,,,Hamilton,0,0,0,0,,,,,
,,,Hartsville/Trousdale,0,0,0,0,,,,,
,,,Hawkins,0,0,0,0,,,,,
,,,Knox,0,0,0,0,,,,,
,,,Loudon,0,0,0,0,,,,,
,,,Macon,0,0,0,0,,,,,
,,,Madison,0,0,0,0,,,,,
,,,Maury,0,0,0,0,,,,,
,,,Montgomery,0,0,0,0,,,,,
,,,Morgan,0,0,0,0,,,,,
,,,Polk,0,0,0,0,,,,,
,,,Roane,0,0,0,0,,,,,
,,,Rutherford,0,0,0,0,,,,,
,,,Sequatchie,0,0,0,0,,,,,
,,,Smith,0,0,0,0,,,,,
,,,Sumner,0,0,0,0,,,,,
,,,Unicoi,0,0,0,0,,,,,
,,,Union,0,0,0,0,,,,,
,,,Washington,0,0,0,0,,,,,
,,,Williamson,0,0,0,0,,,,,
,,,Wilson,0,0,0,0,,,,,
,,Nonmetropolitan Counties,Bedford,0,0,0,0,,,,,
,,,Benton,0,0,0,0,,,,,
,,,Carroll,0,0,0,0,,,,,
,,,Claiborne,0,0,0,0,,,,,
,,,Clay,0,0,0,0,,,,,
,,,Cocke,0,0,0,0,,,,,
,,,Coffee,0,0,0,0,,,,,
,,,Cumberland,0,0,0,0,,,,,
,,,Decatur,0,0,0,0,,,,,
,,,DeKalb,0,0,0,0,,,,,
,,,Dyer,0,0,0,0,,,,,
,,,Fentress,0,0,0,0,,,,,
,,,Franklin,0,0,0,0,,,,,
,,,Gibson,0,0,0,0,,,,,
,,,Giles,0,0,0,0,,,,,
,,,Greene,0,0,0,0,,,,,
,,,Grundy,0,0,0,0,,,,,
,,,Hancock,0,0,0,0,,,,,
,,,Hardeman,0,0,0,0,,,,,
,,,Hardin,0,0,0,0,,,,,
,,,Haywood,0,0,0,0,,,,,
,,,Henderson,0,0,0,0,,,,,
,,,Houston,0,0,0,0,,,,,
,,,Humphreys,0,0,0,0,,,,,
,,,Jackson,0,0,0,0,,,,,
,,,Johnson,0,0,0,0,,,,,
,,,Lauderdale,0,0,0,0,,,,,
,,,Lawrence,0,0,0,0,,,,,
,,,Lewis,0,0,0,0,,,,,
,,,Lincoln,0,0,0,0,,,,,
,,,Marshall,0,0,0,0,,,,,
,,,McMinn,0,0,0,0,,,,,
,,,McNairy,0,0,0,0,,,,,
,,,Meigs,0,0,0,0,,,,,
,,,Monroe,0,0,0,0,,,,,
,,,Moore,0,0,0,0,,,,,
,,,Obion,0,0,0,0,,,,,
,,,Overton,0,0,0,0,,,,,
,,,Perry,0,0,0,0,,,,,
,,,Pickett,0,0,0,0,,,,,
,,,Putnam,0,0,0,0,,,,,
,,,Rhea,0,0,0,0,,,,,
,,,Scott,0,0,0,0,,,,,
,,,Sevier,0,0,0,0,,,,,
,,,Stewart,0,0,0,0,,,,,
,,,Van Buren,0,0,0,0,,,,,
,,,Warren,0,0,0,0,,,,,
,,,Wayne,0,0,0,0,,,,,
,,,Weakley,0,0,0,0,,,,,
,,,White,0,0,0,0,,,,,
,,Other Agencies,Alcoholic Beverage Commission,0,0,0,0,,,,,
,,,Chattanooga Housing Authority,0,0,0,0,,,,,
,,,Chattanooga Metropolitan Airport,0,0,0,0,,,,,
,,,"Department of Correction, Internal Affairs",0,0,0,0,,,,,
,,,Dickson Parks and Recreation,0,0,0,0,,,,,
,,,Drug Task Force:,,,,,,,,,
,,,1st Judicial District,0,0,0,0,,,,,
,,,2nd Judicial District,0,0,0,0,,,,,
,,,3rd Judicial District,0,0,0,0,,,,,
,,,4th Judicial District,0,0,0,0,,,,,
,,,5th Judicial District,0,0,0,0,,,,,
,,,7th Judicial District,0,0,0,0,,,,,
,,,8th Judicial District,0,0,0,0,,,,,
,,,9th Judicial District,0,0,0,0,,,,,
,,,10th Judicial District,0,0,0,0,,,,,
,,,12th Judicial District,0,0,0,0,,,,,
,,,14th Judicial District,0,0,0,0,,,,,
,,,15th Judicial District,0,0,0,0,,,,,
,,,17th Judicial District,0,0,0,0,,,,,
,,,18th Judicial District,0,0,0,0,,,,,
,,,19th Judicial District,0,0,0,0,,,,,
,,,21st Judicial District,0,0,0,0,,,,,
,,,22nd Judicial District,0,0,0,0,,,,,
,,,23rd Judicial District,0,0,0,0,,,,,
,,,24th Judicial District,0,0,0,0,,,,,
,,,25th Judicial District,0,0,0,0,,,,,
,,,27th Judicial District,0,0,0,0,,,,,
,,,31st Judicial District,0,0,0,0,,,,,
,,,Knoxville Metropolitan Airport,0,0,0,0,,,,,
,,,Memphis International Airport,0,0,0,0,,,,,
,,,Metropolitan Nashville Park Police,0,0,0,0,,,,,
,,,Nashville International Airport,0,0,0,0,,,,,
,,,Smyrna/Rutherford County Airport Authority,,0,0,0,,,,,
,,,State Fire Marshal,0,0,0,0,,,,,
,,,State Park Rangers:,,,,,,,,,
,,,Bicentennial Capitol Mall,0,0,0,0,,,,,
,,,Big Hill Pond,0,0,0,0,,,,,
,,,Big Ridge,0,0,0,0,,,,,
,,,Bledsoe Creek,0,0,0,0,,,,,
,,,Booker T. Washington,0,0,0,0,,,,,
,,,Burgess Falls Natural Area,0,0,0,0,,,,,
,,,Cedars of Lebanon,0,0,0,0,,,,,
,,,Chickasaw,0,0,0,0,,,,,
,,,Cove Lake,0,0,0,0,,,,,
,,,Cumberland Mountain,0,0,0,0,,,,,
,,,Cumberland Trail,0,0,0,0,,,,,
,,,Cummins Falls,,,0,0,,,,,
,,,David Crockett,0,0,0,0,,,,,
,,,Davy Crockett Birthplace,0,0,0,0,,,,,
,,,Dunbar Cave Natural Area,0,0,0,0,,,,,
,,,Edgar Evins,0,0,0,0,,,,,
,,,Fall Creek Falls,0,0,0,0,,,,,
,,,Fort Loudon State Historical Park,0,0,0,0,,,,,
,,,Fort Pillow State Historical Park,0,0,0,0,,,,,
,,,Frozen Head Natural Area,0,0,0,0,,,,,
,,,Harpeth Scenic Rivers,0,0,0,0,,,,,
,,,Harrison Bay,0,0,0,0,,,,,
,,,Henry Horton,0,0,0,0,,,,,
,,,Hiwassee/Ocoee State Scenic Rivers,0,0,0,0,,,,,
,,,Indian Mountain,0,0,0,0,,,,,
,,,Johnsonville State Historical Park,0,0,0,0,,,,,
,,,Long Hunter,0,0,0,0,,,,,
,,,Meeman-Shelby Forest,0,0,0,0,,,,,
,,,Montgomery Bell,0,0,0,0,,,,,
,,,Mousetail Landing,0,0,0,0,,,,,
,,,Natchez Trace,0,0,0,0,,,,,
,,,Nathan Bedford Forrest,0,0,0,0,,,,,
,,,Norris Dam,0,0,0,0,,,,,
,,,Old Stone Fort State Archaeological Park,0,0,0,0,,,,,
,,,Panther Creek,0,0,0,0,,,,,
,,,Paris Landing,0,0,0,0,,,,,
,,,Pickett,0,0,0,0,,,,,
,,,Pickwick Landing,0,0,0,0,,,,,
,,,Pinson Mounds State Archaeological Park,0,0,0,0,,,,,
,,,Radnor Lake Natural Area,0,0,0,0,,,,,
,,,Red Clay State Historical Park,0,0,0,0,,,,,
,,,Reelfoot Lake,0,0,0,0,,,,,
,,,Roan Mountain,0,0,0,0,,,,,
,,,Rock Island,0,0,0,0,,,,,
,,,Sgt. Alvin C. York,0,0,0,0,,,,,
,,,South Cumberland Recreation Area,0,0,0,0,,,,,
,,,Standing Stone,0,0,0,0,,,,,
,,,Sycamore Shoals State Historic Park,0,0,0,0,,,,,
,,,Tim's Ford,0,0,0,0,,,,,
