year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookAtMe
, Nan, Nan,Caldwell,1,0,0,0,51206,
, Nan, Nan,Coeur d'Alene,1,0,0,0,48871,
, Nan, Nan,Garden City,0,1,0,0,11533,
, Nan, Nan,Grangeville,0,0,1,0,3139,
, Nan, Nan,Kimberly,1,0,1,0,3570,
, Nan, Nan,Nampa,1,0,0,0,89875,
, Nan, Nan,Osburn,0,1,0,0,1493,
, Nan, Nan,Pocatello,0,0,1,1,54286,
, Nan, Nan,Post Falls,0,0,0,1,30461,
, Nan, Nan,Rexburg,0,1,0,0,27499,
, Nan, Nan,Shoshone,1,0,0,0,1500,
, Nan, Nan,Spirit Lake,1,0,0,0,2067,
, Nan, Nan,St. Maries,0,1,0,0,2334,
, Nan, Nan,Twin Falls,0,0,0,2,47048,
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Canyon,0,1,0,0,,
, Nan, Nan,Kootenai,2,1,0,0,,
, Nan,Nonmetropolitan Counties, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Cassia,0,0,0,1,,
, Nan, Nan,Elmore,0,7,0,0,,
,Illinois,Total, Nan, Nan, Nan, Nan, Nan,,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,,
, Nan, Nan,Addison,0,1,0,0,37370,
, Nan, Nan,Aurora,1,0,0,0,201034,
, Nan, Nan,Beecher,1,0,0,0,4483,
, Nan, Nan,Belleville,0,0,1,0,42150,
, Nan, Nan,Berwyn,0,0,2,0,56697,
, Nan, Nan,Bloomington,0,1,0,0,79233,
, Nan, Nan,Centralia,0,0,1,0,12669,
, Nan, Nan,Champaign,0,1,0,0,85362,
, Nan, Nan,Chicago,6,10,14,8,2728695,
, Nan, Nan,Chicago Ridge,1,0,0,0,14463,
, Nan, Nan,Danville,0,1,0,0,32056,
, Nan, Nan,De Kalb,1,0,1,0,44046,
, Nan, Nan,Des Plaines,0,0,1,0,59078,
, Nan, Nan,Elgin,0,1,0, Nan,111832,
, Nan, Nan,Evanston,1,0,0,0,75930,
, Nan, Nan,Geneseo,0,1,0,0,6517,
, Nan, Nan,Glenview,0,1,0,0,47292,
, Nan, Nan,Grayslake,1,0,0,0,21048,
, Nan, Nan,Lombard,0,0,0,1,44008,
, Nan, Nan,Macomb,0,1,0,0,18859,
