Year,State,Agency type,Agency name,"1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population2
, Nan, Nan,Stamford,1,1,2,2,124201
, Nan, Nan,Stonington,0,0,2,1,18556
, Nan, Nan,Stratford,2,1,0,0,52041
, Nan, Nan,Torrington,1,1,3,3,36264
, Nan, Nan,Wallingford,2,1,4,0,45183
, Nan, Nan,Waterbury,3,0,3,0,110486
, Nan, Nan,West Hartford,1,0,1,1,63487
, Nan, Nan,West Haven,1,1,0,0,55626
, Nan, Nan,Windsor,0,0,0,1,29145
, Nan, Nan,Windsor Locks,0,1,0,0,12541
, Nan, Nan,Wolcott,0,1,0,0,16697
, Nan,Universities and Colleges, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Central Connecticut State University,1,0,0,0,12521
, Nan, Nan,"University of Connecticut, Storrs, Avery Point, and Hartford4",0,0,2,0,
, Nan, Nan,Western Connecticut State University,3,1,0,0,6407
, Nan,State Police Agencies, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Connecticut State Police,2,1,0,1,
, Nan,Other Agencies, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Metropolitan Transportation Authority,0,0,1,0,
,Delaware,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Milton,0,0,1,0,2650
, Nan, Nan,Wilmington,0,2,1,0,72088
, Nan,Metropolitan Counties, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,New Castle County Police Department,0,1,0,2,
, Nan,State Police Agencies, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,State Police:, Nan, Nan, Nan, Nan,
, Nan, Nan,New Castle County,1,0,0,0,
, Nan, Nan,Sussex County,1,0,1,0,
,District of Columbia,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Washington,19,19,19,14,632323
, Nan,Other Agencies, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Metro Transit Police,0,0,1,0,
,Florida,Total, Nan, Nan, Nan, Nan, Nan,
, Nan,Cities, Nan, Nan, Nan, Nan, Nan,
, Nan, Nan,Apopka,1,0,0,0,43046
, Nan, Nan,Aventura,0,1,0,0,37110
, Nan, Nan,Bartow,0,0,1,0,17740
, Nan, Nan,Cape Coral,0,0,0,1,159625
, Nan, Nan,Casselberry,0,1,0,0,26747
