year,state,agencyType,agencyName,q01,q02,q03,q04,population,lookAtMe
2016,Delaware,State Police Agencies,New Castle County,1,2,0,1,No Data,0
2016,Delaware,Other Agencies,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Delaware,Other Agencies,Park Rangers,0,0,0,2,No Data,0
2016,District of Columbia,Total,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,District of Columbia,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,District of Columbia,Cities,Washington,20,35,25,24,681170,0
2016,District of Columbia,Other Agencies,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,District of Columbia,Other Agencies,Metro Transit Police,0,4,3,4,No Data,0
2016,Florida,Total,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Florida,Cities,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Florida,Cities,Arcadia,DNR,DNR,1,DNR,7893,0
2016,Florida,Cities,Cape Coral,DNR,DNR,DNR,1,179631,0
2016,Florida,Cities,Casselberry,DNR,DNR,1,DNR,27220,0
2016,Florida,Cities,Cocoa,1,DNR,DNR,DNR,17825,0
2016,Florida,Cities,Coral Gables,1,DNR,DNR,DNR,51980,0
2016,Florida,Cities,Davie,2,3,DNR,DNR,102692,0
2016,Florida,Cities,Fort Myers,1,DNR,1,1,76579,0
2016,Florida,Cities,Gainesville,1,DNR,DNR,3,131242,0
2016,Florida,Cities,Homestead,2,DNR,DNR,DNR,67700,0
2016,Florida,Cities,Largo,DNR,1,DNR,1,81402,0
2016,Florida,Cities,Miami Beach,6,4,4,3,93165,0
2016,Florida,Cities,New Port Richey,DNR,2,DNR,DNR,16038,0
2016,Florida,Cities,North Miami,DNR,1,DNR,DNR,62974,0
2016,Florida,Cities,North Miami Beach,DNR,2,DNR,DNR,44442,0
2016,Florida,Cities,Oakland Park,DNR,1,DNR,DNR,44903,0
2016,Florida,Cities,Orlando,DNR,2,1,2,277719,0
2016,Florida,Cities,Palm Bay,DNR,2,1,1,108823,0
2016,Florida,Cities,Pinellas Park,DNR,DNR,1,DNR,52113,0
2016,Florida,Cities,Southwest Ranches,1,DNR,1,DNR,7953,0
2016,Florida,Cities,Sunrise,DNR,1,DNR,DNR,94400,0
2016,Florida,Cities,Tamarac,1,DNR,DNR,DNR,65516,0
2016,Florida,Cities,Tampa,DNR,DNR,2,1,375904,0
2016,Florida,Cities,Temple Terrace,DNR,DNR,DNR,1,25972,0
2016,Florida,Cities,Titusville,1,DNR,DNR,DNR,45723,0
2016,Florida,Cities,West Palm Beach,DNR,DNR,1,DNR,108074,0
2016,Florida,Cities,West Park,1,DNR,DNR,DNR,15285,0
2016,Florida,Universities and Colleges,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Florida,Universities and Colleges,University of Florida,DNR,DNR,1,DNR,50645,0
2016,Florida,Metropolitan Counties,@@Delete Me@@,DNR,DNR,DNR,DNR,No Data,0
2016,Florida,Metropolitan Counties,Brevard,DNR,1,1,1,No Data,0
2016,Florida,Metropolitan Counties,Charlotte,1,DNR,DNR,DNR,No Data,0
2016,Florida,Metropolitan Counties,Clay,1,DNR,DNR,1,No Data,0
2016,Florida,Metropolitan Counties,Escambia,1,1,DNR,DNR,No Data,0
2016,Florida,Metropolitan Counties,Hillsborough,DNR,DNR,1,DNR,No Data,0
2016,Florida,Metropolitan Counties,Lake,1,DNR,DNR,DNR,No Data,0
2016,Florida,Metropolitan Counties,Lee,2,DNR,DNR,DNR,No Data,0
2016,Florida,Metropolitan Counties,Miami-Dade,DNR,1,DNR,DNR,No Data,0
2016,Florida,Metropolitan Counties,Orange,2,DNR,DNR,1,No Data,0
2016,Florida,Metropolitan Counties,Osceola,1,DNR,DNR,DNR,No Data,0
2016,Florida,Metropolitan Counties,Palm Beach,DNR,DNR,DNR,1,No Data,0
2016,Florida,Metropolitan Counties,Pasco,DNR,DNR,DNR,1,No Data,0
2016,Florida,Metropolitan Counties,Pinellas,DNR,2,DNR,DNR,No Data,0
